n	ne	e	se	s	sw	w	nw	c	distance	1-live	1-kitchen	2-live	2-kitchen	3-live	3-kitchen	4-live	4-kitchen	1	last	any	n-floor	kirpich	panel	block	price
0	0	1	0	0	0	0	0	0	0,320856471	0,142857143	0,1	0	0	0	0	0	0	1	0	0	0,2	1	0	0	4133
0	0	1	0	0	0	0	0	0	0,027054267	0,257142857	0,1	0	0	0	0	0	0	1	0	0	0,2	1	0	0	3823
0	0	1	0	0	0	0	0	0	0,562139458	0	0	0	0	0	0,066666667	0	0	0	1	0	0,2	1	0	0	4161
0	0	1	0	0	0	0	0	0	0,291789522	0	0	0	0	0	0,066666667	0	0	1	0	0	0,2	1	0	0	3843
0	0	1	0	0	0	0	0	0	0,066292982	0	0	0	0	0	0,333333333	0	0	0	1	0	1	1	0	0	3474
0	0	1	0	0	0	0	0	0	0,349411739	0	0	0	0	0	0	0	0,285714286	0	0	1	0,9	1	0	0	4300
0	0	1	0	0	0	0	0	0	0,658839973	0	0	0,220588235	0,266666667	0	0	0	0	0	0	1	1	0	1	0	4255
0	0	1	0	0	0	0	0	0	0,228933418	0	0	0,117647059	0,133333333	0	0	0	0	0	0	1	0,5	0	1	0	4375
0	0	1	0	0	0	0	0	0	0,02254576	0	0	0,220588235	0,066666667	0	0	0	0	0	0	1	0,4	0	1	0	3382
0	0	1	0	0	0	0	0	0	0,726482522	1	0,3	0	0	0	0	0	0	0	0	1	0,4	0	1	0	3388
0	0	1	0	0	0	0	0	0	0,337509492	0,8	0,3	0	0	0	0	0	0	0	1	0	0,5	0	1	0	5283
0	0	1	0	0	0	0	0	0	0,017812082	1	0,7	0	0	0	0	0	0	0	0	1	1	0	1	0	4097
0	0	1	0	0	0	0	0	0	0,506628446	0	0	0	0	0	0,066666667	0	0	0	0	1	0,2	0	1	0	4195
0	0	1	0	0	0	0	0	0	0,311650295	0	0	0	0	0	0,133333333	0	0	1	0	0	1	0	1	0	3695
0	0	1	0	0	0	0	0	0	0,117603261	0	0	0	0	0	0,266666667	0	0	0	0	1	0,5	0	1	0	3700
0	0	1	0	0	0	0	0	0	0,288771442	0	0	0	0	0	0	0	0	0	0	1	0,8	0	1	0	4000
0	0	1	0	0	0	0	0	0	0,221749073	0	0	0	0	0	0	0,170212766	1	0	0	1	0,5	0	1	0	4468
0	0	1	0	0	0	0	0	0	0,179866694	0	0	0	0	0	0	0,037234043	0,5	0	0	1	0,8	0	1	0	5072
0	0	1	0	0	0	0	0	0	0,551334578	0	0	0,485294118	0,2	0	0	0	0	0	0	1	0,8	0	0	1	4692
0	0	1	0	0	0	0	0	0	0,186080654	0	0	0,514705882	0,066666667	0	0	0	0	1	0	0	0,4	0	0	1	4328
0	0	1	0	0	0	0	0	0	0,022421086	0	0	0,441176471	0,2	0	0	0	0	0	0	1	0,4	0	0	1	3467
0	0	1	0	0	0	0	0	0	0,019249969	0	0	0,764705882	0,266666667	0	0	0	0	0	0	1	1	0	0	1	3333
0	0	1	0	0	0	0	0	0	0,607518393	1	0,1	0	0	0	0	0	0	1	0	0	0,2	0	0	1	3709
0	0	1	0	0	0	0	0	0	0,344123897	0,857142857	0	0	0	0	0	0	0	0	0	1	0,2	0	0	1	4000
0	0	1	0	0	0	0	0	0	0,026168952	0,8	0,4	0	0	0	0	0	0	0	1	0	0,2	0	0	1	3735
0	0	1	0	0	0	0	0	0	0,410086452	0	0	0	0	0,074324324	0,266666667	0	0	1	0	0	0,5	0	0	1	3809
0	0	1	0	0	0	0	0	0	0,306084094	0	0	0	0	0,081081081	0,266666667	0	0	1	0	0	0,5	0	0	1	3593
0	0	1	0	0	0	0	0	0	0,217788545	0	0	0	0	0,094594595	0,266666667	0	0	0	0	1	0,5	0	0	1	3939
0	0	1	0	0	0	0	0	0	0,201520704	0	0	0	0	0	0	0,074468085	0,571428571	0	0	1	1	0	0	1	4605
0	0	1	0	0	0	0	0	0	0,179866694	0	0	0	0	0	0	0,239361702	0,642857143	0	0	1	0,8	0	0	1	4485
0	0	0	1	0	0	0	0	0	0,681129015	0	0	0,088235294	0,266666667	0	0	0	0	0	0	1	0,8	1	0	0	4868
0	0	0	1	0	0	0	0	0	0,279709272	0	0	0,014705882	0,066666667	0	0	0	0	1	0	0	0,4	1	0	0	4090
0	0	0	1	0	0	0	0	0	0,017935974	0	0	0,117647059	0,2	0	0	0	0	0	0	1	0,5	1	0	0	3825
0	0	0	1	0	0	0	0	0	0,79004131	0,485714286	0,6	0	0	0	0	0	0	0	0	1	0,5	1	0	0	5119
0	0	0	1	0	0	0	0	0	0,327144514	0,2	0,1	0	0	0	0	0	0	0	1	0	0,2	1	0	0	3906
0	0	0	1	0	0	0	0	0	0,107618646	0,171428571	0,1	0	0	0	0	0	0	1	0	0	0,2	1	0	0	3387
0	0	0	1	0	0	0	0	0	0,565657228	0	0	0	0	0	0	0	0	0	0	1	0,4	1	0	0	4625
0	0	0	1	0	0	0	0	0	0,395294554	0	0	0	0	0	0,133333333	0	0	0	0	1	0,5	1	0	0	4400
0	0	0	1	0	0	0	0	0	0,155717174	0	0	0	0	0	0,333333333	0	0	0	0	1	0,5	1	0	0	4142
0	0	0	1	0	0	0	0	0	0,47302882	0	0	0	0	0	0	0	0,285714286	0	0	1	0,9	1	0	0	4000
0	0	0	1	0	0	0	0	0	0,455650637	0	0	0	0	0	0	0	0,285714286	0	0	1	0,9	1	0	0	3953
0	0	0	1	0	0	0	0	0	0,455650637	0	0	0	0	0	0	0	0,285714286	0	0	1	0,9	1	0	0	4250
0	0	0	1	0	0	0	0	0	0,438910895	0	0	0	0	0	0	0	0,285714286	0	0	1	0,9	1	0	0	4523
0	0	0	1	0	0	0	0	0	0,431370668	0	0	0	0	0	0	0	0,142857143	0	0	1	0,9	1	0	0	4179
0	0	0	1	0	0	0	0	0	0,411510169	0	0	0	0	0	0	0	0,214285714	0	0	1	0,9	1	0	0	4358
0	0	0	1	0	0	0	0	0	0,263340255	0	0	0	0	0	0	0	0,357142857	0	0	1	0,9	1	0	0	4268
0	0	0	1	0	0	0	0	0	0,540737378	0	0	0,088235294	0,133333333	0	0	0	0	1	0	0	0,5	0	1	0	4210
0	0	0	1	0	0	0	0	0	0,280485866	0	0	0,308823529	0,2	0	0	0	0	0	0	1	0,8	0	1	0	4056
0	0	0	1	0	0	0	0	0	0,016053147	0	0	0,411764706	0,333333333	0	0	0	0	0	0	1	1	0	1	0	3166
0	0	0	1	0	0	0	0	0	0,714992491	0,542857143	0	0	0	0	0	0	0	0	0	1	0,4	0	1	0	4909
0	0	0	1	0	0	0	0	0	0,326464943	0,514285714	0,1	0	0	0	0	0	0	0	1	0	0,2	0	1	0	3837
0	0	0	1	0	0	0	0	0	0,06134119	0,314285714	0	0	0	0	0	0	0	0	0	1	0,4	0	1	0	4027
0	0	0	1	0	0	0	0	0	0,497924873	0	0	0	0	0	0,133333333	0	0	0	0	1	0,5	0	1	0	3913
0	0	0	1	0	0	0	0	0	0,322417059	0	0	0	0	0	0	0	0	0	0	1	0,2	0	1	0	3695
0	0	0	1	0	0	0	0	0	0,127008765	0	0	0	0	0	0,266666667	0	0	0	0	1	1	0	1	0	3725
0	0	0	1	0	0	0	0	0	0,47302882	0	0	0	0	0	0	0	0,285714286	0	0	1	0,9	0	1	0	3898
0	0	0	1	0	0	0	0	0	0,46265221	0	0	0	0	0	0	0	0,214285714	0	0	1	0,9	0	1	0	4583
0	0	0	1	0	0	0	0	0	0,455019408	0	0	0	0	0	0	0,005319149	0,285714286	0	0	1	0,9	0	1	0	4015
0	0	0	1	0	0	0	0	0	0,454389054	0	0	0	0	0	0	0	0,285714286	0	0	1	0,9	0	1	0	4583
0	0	0	1	0	0	0	0	0	0,411510169	0	0	0	0	0	0	0	0,285714286	0	0	1	0,9	0	1	0	4426
