score	page_count	total_mp3	good_mp3	av_mp3	av_good	av_author	av_album	own_mp3	forum	domen_level	c0	c1	c2	c3
3	34	109	74	3.205882	2.176471	1.176471	1.382353	1.000000	0.000000	2	0.0264713091781	0.613937554566	0.0264713091781	0.333119827078
3	8	47	38	5.875000	4.750000	1.250000	1.000000	1.000000	0.000000	2	0.0207930973391	0.125790900362	0.0222408089055	0.831175193393
3	3445	43450	5214	12.612482	1.513498	2.227576	1.103628	1.000000	0.000000	2	0.204358057728	0.0348210679803	0.284266326931	0.476554547361
3	2	19	11	9.500000	5.500000	3.500000	1.000000	1.000000	0.000000	2	0.00909464248056	0.210928085445	0.440995378838	0.338981893236
3	690	690	303	1.000000	0.439130	1.000000	1.000000	1.000000	0.000000	1	0.0355893386503	0.150916489694	0.326450041568	0.487044130088
3	1	11	11	11.000000	11.000000	11.000000	8.000000	1.000000	1.000000	2	0.251238920527	0.31277936972	0.422053260837	0.0139284489154
3	245	1053	553	4.297959	2.257143	1.497959	1.089796	1.000000	0.000000	1	0.143809308657	0.0912907263692	0.044589258541	0.720310706433
3	275	339	289	1.232727	1.050909	1.225455	1.200000	1.000000	0.000000	1	0.0124826790909	0.650125598102	0.0551519863132	0.282239736494
3	21	21	21	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1	0.387473429478	0.0152982809567	0.255420839214	0.341807450352
3	1	1	1	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	2	0.0202516413937	0.244969573787	0.471992425581	0.262786359238
3	2	17	10	8.500000	5.000000	1.500000	3.000000	1.000000	1.000000	2	0.459263572462	0.0103127682432	0.130367800768	0.400055858527
3	1	11	5	11.000000	5.000000	11.000000	8.000000	1.000000	0.000000	2	0.272345437337	0.010752781225	0.314923673212	0.401978108225
3	20	62	44	3.100000	2.200000	1.000000	1.100000	1.000000	0.000000	2	0.0753438319243	0.102744608623	0.361692128131	0.460219431321
3	2	75	59	37.500000	29.500000	2.500000	4.000000	1.000000	0.000000	2	0.0753438319243	0.102744608623	0.361692128131	0.460219431321
3	4802	8829	4313	1.838609	0.898167	1.001666	1.013953	0.999584	0.000416	1	0.21129962748	0.036003858984	0.293922195452	0.458774318084
3	53	60	28	1.132075	0.528302	1.000000	1.000000	0.094340	0.943396	1	0.0162782003099	0.11765032526	0.371434296509	0.494637177921
3	1	4	2	4.000000	2.000000	4.000000	2.000000	1.000000	1.000000	2	0.191481746438	0.0136986892625	0.364923924956	0.429895639343
3	5	57	39	11.400000	7.800000	2.200000	2.000000	1.000000	0.000000	1	0.452304827216	0.0178579634071	0.124671252744	0.405165956632
3	17	199	196	11.705882	11.529412	3.000000	5.352941	1.000000	0.000000	2	0.0185410019359	0.231020121395	0.397645248716	0.352793627953
3	27	411	323	15.222222	11.962963	1.740741	2.296296	1.000000	0.037037	1	0.090890469032	0.0154870487424	0.384231839109	0.509390643117
3	36	94	86	2.611111	2.388889	1.055556	1.444444	1.000000	0.000000	2	0.155067461567	0.00593172302356	0.339664340264	0.499336475146
3	21	321	307	15.285714	14.619048	1.857143	1.142857	0.000000	1.000000	2	0.137071733146	0.0233559869922	0.190669643961	0.648902635901
3	2439	2439	1154	1.000000	0.473145	1.000000	1.000000	0.000000	0.000000	1	0.445996917324	0.238620714036	0.0130796055853	0.302302763054
3	15	235	209	15.666667	13.933333	3.800000	3.000000	1.000000	0.000000	2	0.0102792155765	0.0742927985259	0.405660482255	0.509767503642
3	152	1558	1381	10.250000	9.085526	1.006579	1.013158	1.000000	0.000000	1	0.204358057728	0.0348210679803	0.284266326931	0.476554547361
3	2	19	19	9.500000	9.500000	1.000000	1.000000	0.500000	0.500000	2	0.137071733146	0.0233559869922	0.190669643961	0.648902635901
3	2	52	41	26.000000	20.500000	7.500000	5.000000	1.000000	0.000000	1	0.0327002898406	0.0445926148928	0.527155154104	0.395551941163
3	1	5	5	5.000000	5.000000	5.000000	5.000000	0.000000	1.000000	2	0.399154889168	0.339519586071	0.011397136102	0.249928388659
3	37	79	63	2.135135	1.702703	1.108108	1.000000	0.000000	0.027027	1	0.137071733146	0.0233559869922	0.190669643961	0.648902635901
3	159	185	75	1.163522	0.471698	1.000000	1.018868	0.194969	0.000000	1	0.389115431444	0.372982457975	0.0136971961873	0.224204914394
3	169	169	6	1.000000	0.035503	1.000000	1.000000	1.000000	0.000000	1	0.224524220357	0.00602938270984	0.277666601155	0.491779795779
3	13217	51439	36931	3.891882	2.794204	3.373156	2.660437	1.000000	0.000000	1	0.354304512335	0.492553069222	0.0109105861939	0.142231832249
3	246	246	160	1.000000	0.650407	1.000000	1.000000	0.000000	0.000000	1	0.0085005674494	0.0614376593405	0.383581949229	0.546479823981
3	10	55	26	5.500000	2.600000	4.600000	1.600000	1.000000	0.000000	1	0.0388545358603	0.469995439103	0.0388545358603	0.452295489177
3	149	149	102	1.000000	0.684564	1.000000	1.000000	1.000000	0.000000	1	0.391058602271	0.453077121716	0.148532539666	0.0073317363469
3	8571	74322	45145	8.671334	5.267180	1.002217	1.005367	1.000000	0.000000	1	0.127471070543	0.00487609119499	0.374412668998	0.493240169264
3	8188	8218	2591	1.003664	0.316439	1.000855	1.000000	0.000000	0.000000	1	0.40990236229	0.12123999218	0.0136888493852	0.455168796145
3	9911	15004	1	1.513873	0.000101	1.001917	1.000000	0.005045	0.003229	2	0.0102244614306	0.123677973067	0.367037497198	0.499060068304
3	946	7855	5144	8.303383	5.437632	1.232558	1.095137	1.000000	0.000000	2	0.429485373371	0.323818483234	0.00791999730365	0.238776146092
3	357	357	321	1.000000	0.899160	1.000000	1.000000	1.000000	0.000000	1	0.0070172288181	0.0139993433343	0.408805056605	0.570178371243
3	542	2897	2565	5.345018	4.732472	1.444649	1.322878	1.000000	0.000000	2	0.0207364083352	0.149871923119	0.185693568172	0.643698100374
3	158	285	212	1.803797	1.341772	1.000000	1.000000	1.000000	0.000000	1	0.0959569445293	0.0163503378618	0.452686930399	0.43500578721
3	1	1	1	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1	0.0374806040446	0.453375971833	0.0374806040446	0.471662820078
3	58	937	698	16.155172	12.034483	1.568966	1.103448	1.000000	0.000000	1	0.140160177182	0.0238822345057	0.194965734126	0.640991854186
3	1	36	29	36.000000	29.000000	1.000000	1.000000	1.000000	0.000000	2	0.00864939876307	0.200601741657	0.468362402462	0.322386457118
3	27	27	19	1.000000	0.703704	1.000000	1.000000	0.074074	1.000000	1	0.219365389313	0.00988240607561	0.263260691881	0.50749151273
3	20	258	251	12.900000	12.550000	1.300000	1.800000	1.000000	0.000000	1	0.0753438319243	0.102744608623	0.361692128131	0.460219431321
3	1	15	8	15.000000	8.000000	8.000000	11.000000	1.000000	0.000000	2	0.262618456779	0.00866531080139	0.289946878257	0.438769354163
3	3	7	6	2.333333	2.000000	1.666667	1.333333	0.666667	0.000000	2	0.00916269715617	0.21583870502	0.415607669008	0.359390928816
3	1	89	87	89.000000	87.000000	50.000000	1.000000	1.000000	0.000000	2	0.0122268267165	0.0883691140732	0.348195875221	0.551208183989
3	2	7	4	3.500000	2.000000	3.000000	2.500000	1.000000	0.000000	2	0.385649403349	0.374469714326	0.0137316652525	0.226149217073
3	9	20	14	2.222222	1.555556	1.444444	1.444444	1.000000	1.000000	2	0.0611896531512	0.0104262542704	0.317688062851	0.610696029728
3	19	202	181	10.631579	9.526316	1.578947	2.000000	1.000000	0.000000	2	0.0102792155765	0.0742927985259	0.405660482255	0.509767503642
3	6	6	6	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1	0.349452894144	0.260418406092	0.0123240238984	0.377804675866
3	2	8	2	4.000000	1.000000	3.500000	2.500000	0.000000	0.000000	2	0.396817362332	0.0230458494112	0.126428424109	0.453708364148
3	11	16	7	1.454545	0.636364	1.090909	1.272727	1.000000	0.000000	2	0.0767235601279	0.0767235601279	0.819976346847	0.0265765328974
3	1865	18385	14273	9.857909	7.653083	2.464343	1.082038	1.000000	0.000000	2	0.127686648335	0.0217568394967	0.300761290403	0.549795221766
3	3220	31136	24277	9.669565	7.539441	2.746584	1.202795	1.000000	0.000000	2	0.0913119720448	0.0155588696689	0.430773786477	0.462355371809
3	4	147	120	36.750000	30.000000	31.500000	4.500000	1.000000	0.000000	2	0.0127103298241	0.0918636218683	0.36196508874	0.533460959567
3	336	1545	768	4.598214	2.285714	1.532738	1.178571	1.000000	0.000000	2	0.156544967183	0.0266740788441	0.368736018605	0.448044935368
3	9	9	4	1.000000	0.444444	1.000000	1.000000	1.000000	1.000000	2	0.271275386861	0.0136718396702	0.215429001429	0.49962377204
3	11	11	5	1.000000	0.454545	1.000000	1.000000	1.000000	1.000000	2	0.0127103298241	0.0918636218683	0.36196508874	0.533460959567
3	1	9	6	9.000000	6.000000	5.000000	6.000000	1.000000	0.000000	2	0.00998067923792	0.231477550393	0.427467006011	0.331074764358
3	8	140	98	17.500000	12.250000	13.625000	5.500000	1.000000	0.000000	2	0.396817362332	0.0230458494112	0.126428424109	0.453708364148
3	2448	6059	3354	2.475082	1.370098	2.351307	2.238971	0.000000	0.000000	2	0.0145071297749	0.478747720581	0.160046514853	0.346698634791
3	14	16	10	1.142857	0.714286	1.142857	1.000000	1.000000	0.000000	1	0.0639053009799	0.0639053009799	0.425617481535	0.446571916505
3	13	42	36	3.230769	2.769231	1.923077	2.076923	1.000000	0.000000	2	0.204358057728	0.0348210679803	0.284266326931	0.476554547361
3	12	18	12	1.500000	1.000000	1.500000	1.416667	0.000000	0.000000	2	0.0149781626331	0.49429220875	0.165243074648	0.325486553969
3	33	278	140	8.424242	4.242424	2.272727	1.424242	0.953598	0.000000	2	0.0162782003099	0.11765032526	0.371434296509	0.494637177921
3	80	181	156	2.262500	1.950000	1.887500	1.712500	0.000000	1.000000	2	0.0933921687322	0.0312141242261	0.301495592675	0.573898114367
3	1873	3286	1829	1.754405	0.976508	1.057662	1.072611	1.000000	0.000000	3	0.350593464866	0.338994032786	0.0142472226297	0.296165279719
3	1	3	2	3.000000	2.000000	3.000000	3.000000	1.000000	0.000000	2	0.357912311675	0.020786371818	0.231686562657	0.38961475385
3	1	2	1	2.000000	1.000000	2.000000	2.000000	1.000000	1.000000	2	0.391195624679	0.0156702459469	0.16325492334	0.429879206035
3	354	8776	633	24.790960	1.788136	1.579096	1.107345	1.000000	0.000000	2	0.0184268446658	0.229597726506	0.529079111621	0.222896317207
3	224	224	216	1.000000	0.964286	1.000000	1.000000	1.000000	0.000000	1	0.0133275885154	0.0133275885154	0.424394765568	0.548950057401
3	1	1	1	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	2	0.366854678869	0.35471724233	0.0149080368186	0.263520041983
3	1	9	8	9.000000	8.000000	7.000000	8.000000	1.000000	1.000000	2	0.0753438319243	0.102744608623	0.361692128131	0.460219431321
3	10	114	80	11.400000	8.000000	1.700000	2.500000	1.000000	0.000000	2	0.374812120447	0.111530192705	0.0185986924192	0.495058994429
3	9	9	8	1.000000	0.888889	1.000000	1.000000	1.000000	0.000000	2	0.295824192705	0.00772265669429	0.218024628973	0.478428521627
3	2	14	10	7.000000	5.000000	7.000000	3.000000	1.000000	0.000000	2	0.440269666358	0.483778397452	0.0134265604509	0.062525375739
3	5	5	5	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	2	0.516201232636	0.020380730358	0.224920118738	0.238497918269
3	3	4	4	1.333333	1.333333	1.000000	1.000000	0.000000	1.000000	2	0.284531445543	0.284531445543	0.284531445543	0.146405663371
3	35	35	3	1.000000	0.085714	1.000000	1.000000	1.000000	0.000000	2	0.175232679632	0.0157848985052	0.250619708699	0.558362713163
