score	c1	c2	c3	tc	domain_level	own_mp3 	forum	page_count	total_mp3	good_mp3	av_mp3	av_good	av_author	av_album	page_count	total_mp3	good_mp3	av_mp3	av_good	av_author	av_album	page_count	total_mp3	good_mp3	av_mp3	av_good	av_author	av_album
1	0.559	0.013	0.075	0	0.613	0	1	0.257	0.051	0.05	0.113	0.05	0.95	0.95	0.052	0.052	0	0.95	0.05	0.95	0.95	0.052	0.052	0	0.143	0.05	0.95	0.95
3	0.012	0.182	0.546	1	0.613	0	1	0.113	0.058	0.122	0.724	0.122	0.95	0.95	0.051	0.064	0.008	0.95	0.122	0.95	0.95	0.051	0.064	0.008	0.921	0.122	0.95	0.95
2	0.088	0.27	0.628	1	0.613	0	1	0.99	0.95	0.95	0.139	0.262	0.95	0.95	0.059	0.3	0.224	0.95	0.262	0.95	0.95	0.059	0.3	0.224	0.36	0.262	0.95	0.95
3	0.071	0.281	0.076	1	0.613	0	1	0.257	0.054	0.086	0.515	0.068	0.2	0.275	0.052	0.056	0.004	0.236	0.068	0.2	0.275	0.052	0.056	0.004	0.5	0.068	0.2	0.275
2	0.131	0.414	0.444	1	0.613	0	1	0.05	0.95	0.95	0.986	0.055	0.067	0.743	0.229	0.95	0.113	0.95	0.055	0.067	0.743	0.229	0.95	0.113	0.994	0.055	0.067	0.743
3	0.074	0.388	0.526	1	0.613	0	1	0.113	0.095	0.833	0.05	0.833	0.95	0.95	0.051	0.13	0.083	0.95	0.833	0.95	0.95	0.051	0.13	0.083	0.05	0.833	0.95	0.95
3	0.251	0.369	0.366	0	0.613	0	1	0.113	0.055	0.104	1	0.104	0.05	0.95	0.051	0.058	0.006	0.061	0.104	0.05	0.95	0.051	0.058	0.006	0.968	0.104	0.05	0.95
3	0.079	0.325	0.584	1	0.613	0	0	0.96	0.056	0.095	0.113	0.054	0.95	0.95	0.06	0.06	0.005	0.95	0.054	0.95	0.95	0.06	0.06	0.005	0.143	0.054	0.95	0.95
3	0.363	0.522	0.104	0	0.613	0	1	0.05	0.95	0.95	0.337	0.062	0.303	0.327	0.95	0.95	0.95	0.354	0.062	0.303	0.327	0.95	0.95	0.95	0.354	0.062	0.303	0.327
0	0.019	0.028	0.206	1	0.613	0	1	0.05	0.95	0.95	0.518	0.073	0.575	0.378	0.127	0.323	0.207	0.234	0.073	0.575	0.378	0.127	0.323	0.207	0.503	0.073	0.575	0.378
1	0.174	0.042	0.431	0	0.613	0	1	0.984	0.95	0.932	0.555	0.16	0.95	0.95	0.057	0.176	0.093	0.95	0.16	0.95	0.95	0.057	0.176	0.093	0.817	0.16	0.95	0.95
3	0.174	0.042	0.431	0	0.613	0	1	0.984	0.95	0.932	0.555	0.16	0.95	0.95	0.057	0.176	0.093	0.95	0.16	0.95	0.95	0.057	0.176	0.093	0.817	0.16	0.95	0.95
1	0.419	0.207	0.361	1	0.613	0	1	0.743	0.95	0.743	0.375	0.189	0.95	0.95	0.054	0.143	0.073	0.95	0.189	0.95	0.95	0.054	0.143	0.073	0.669	0.189	0.95	0.95
3	0.011	0.308	0.495	0	0.613	0	0	1	0.055	0.086	0.113	0.054	0.95	0.95	0.058	0.058	0.004	0.95	0.054	0.95	0.95	0.058	0.058	0.004	0.143	0.054	0.95	0.95
3	0.079	0.321	0.587	1	0.613	0	1	0.234	0.95	0.95	0.975	0.138	0.643	0.756	0.072	0.279	0.223	0.95	0.138	0.643	0.756	0.072	0.279	0.223	0.998	0.138	0.643	0.756
3	0.181	0.397	0.408	1	0.613	0	1	0.05	0.95	0.95	0.996	0.118	0.235	0.76	0.95	0.95	0.95	0.053	0.118	0.235	0.76	0.95	0.95	0.95	0.985	0.118	0.235	0.76
3	0.036	0.536	0.392	1	0.613	0	1	0.05	0.95	0.95	0.688	0.071	0.559	0.78	0.352	0.95	0.73	0.167	0.071	0.559	0.78	0.352	0.95	0.73	0.641	0.071	0.559	0.78
2	0.187	0.403	0.396	1	0.8	0	1	0.053	0.95	0.95	0.087	0.311	0.95	0.717	0.088	0.95	0.95	0.95	0.311	0.95	0.717	0.088	0.95	0.95	0.242	0.311	0.95	0.717
3	0.074	0.307	0.607	1	0.613	0	1	0.597	0.95	0.95	0.061	0.32	0.95	0.075	0.054	0.182	0.114	0.95	0.32	0.95	0.075	0.054	0.182	0.114	0.146	0.32	0.95	0.075
