time	open	high	low	close
2008-07-28 06:47:00	1.5705	1.5707	1.5703	1.5705
2008-07-28 06:48:00	1.5705	1.5707	1.5702	1.5705
2008-07-28 06:49:00	1.5705	1.5709	1.5703	1.5707
2008-07-28 06:50:00	1.5707	1.5709	1.5704	1.5706
2008-07-28 06:51:00	1.5706	1.5708	1.5703	1.5705
2008-07-28 06:52:00	1.5705	1.5707	1.5703	1.5705
2008-07-28 06:53:00	1.5705	1.5707	1.5703	1.5705
2008-07-28 06:54:00	1.5705	1.5708	1.5703	1.5705
2008-07-28 06:55:00	1.5705	1.5707	1.5703	1.5705
2008-07-28 06:56:00	1.5705	1.5707	1.5703	1.5705
2008-07-28 06:57:00	1.5705	1.5707	1.5703	1.5705
2008-07-28 06:58:00	1.5705	1.5708	1.5703	1.5706
2008-07-28 06:59:00	1.5706	1.5708	1.5704	1.5706
2008-07-28 07:00:00	1.5706	1.5708	1.5703	1.5706
2008-07-28 07:01:00	1.5706	1.5708	1.5703	1.5705
2008-07-28 07:02:00	1.5705	1.5707	1.5703	1.5705
2008-07-28 07:03:00	1.5705	1.5707	1.5703	1.5705
2008-07-28 07:04:00	1.5705	1.5708	1.5703	1.5706
2008-07-28 07:05:00	1.5706	1.5708	1.5704	1.5706
2008-07-28 07:06:00	1.5706	1.5708	1.5704	1.5706
2008-07-28 07:07:00	1.5706	1.5709	1.5704	1.5707
2008-07-28 07:08:00	1.5707	1.5709	1.5705	1.5707
2008-07-28 07:09:00	1.5707	1.5710	1.5705	1.5707
2008-07-28 07:10:00	1.5707	1.5709	1.5705	1.5707
2008-07-28 07:11:00	1.5707	1.5710	1.5705	1.5707
2008-07-28 07:12:00	1.5707	1.5711	1.5704	1.5706
2008-07-28 07:13:00	1.5706	1.5708	1.5704	1.5706
2008-07-28 07:14:00	1.5706	1.5708	1.5704	1.5706
2008-07-28 07:15:00	1.5706	1.5708	1.5704	1.5706
2008-07-28 07:16:00	1.5706	1.5708	1.5704	1.5706
